employee_id,employee_name,gender,department,job_role,salary,performance_score,performance_rating,satisfaction_score,years_at_company,last_promotion_year,promotion_eligible,attrition_risk,hire_date,manager_id,location
1,Alexander Hill,Male,HR,Training Lead,51006.09,4.12,Excellent,3.39,19,2015,True,Medium,2012-02-26,1011,Atlanta
2,Michael Mcclain,Male,HR,HR Manager,41235.07,4.88,Excellent,4.33,6,2018,True,Low,2009-11-02,1021,New York
3,Amanda Robinson,Female,Marketing,Campaign Lead,77395.88,2.16,Average,3.45,10,2015,False,Medium,2016-12-13,1044,Denver
4,Christina Santos,Female,Legal,Legal Counsel,58716.03,3.43,Good,1.68,7,2017,False,High,2017-08-16,1004,Los Angeles
5,Leah Pacheco,Female,Operations,Logistics Coordinator,58124.99,1.06,Poor,1.92,15,2019,False,High,2008-06-21,1007,Atlanta
6,Michael Peterson,Male,Sales,Account Executive,63290.2,3.65,Good,2.25,6,2022,False,Medium,2011-01-02,1042,Austin
7,Gabrielle Davis,Female,Finance,Accountant,120886.29,4.76,Excellent,4.58,14,2023,True,Low,2010-01-02,1048,Atlanta
8,Lindsey Roman,Female,IT,Security Analyst,63844.32,2.3,Average,2.55,18,2019,False,High,2020-10-06,1024,Miami
9,William Gray,Male,HR,Compensation Analyst,72561.76,1.56,Poor,4.21,1,2022,False,Medium,2017-09-29,1007,Los Angeles
10,Lisa Hensley,Female,Engineering,ML Engineer,93479.05,1.06,Poor,1.8,8,2017,False,High,2018-03-05,1035,New York
11,Angel Perez,Male,Finance,Accountant,85469.59,1.46,Poor,4.45,8,2016,False,Medium,2013-04-12,1033,Denver
12,David Garcia,Male,Operations,Operations Manager,78776.37,3.55,Good,4.55,1,2022,False,Low,2013-01-31,1037,Chicago
13,Jacob Wood,Male,Finance,Accountant,75058.72,2.02,Average,1.16,15,2022,False,High,2011-12-03,1026,Miami
14,Taylor Wong,Female,Finance,Controller,57671.48,3.55,Good,2.26,4,2023,False,Medium,2018-09-19,1023,Denver
15,Nicholas Martin,Male,IT,IT Support,77260.2,4.77,Excellent,3.4,19,2006,True,Medium,2014-10-24,1042,Los Angeles
16,Mark Hawkins DDS,Male,Operations,Process Engineer,83220.32,1.75,Poor,4.57,11,2021,False,Medium,2022-09-09,1028,Los Angeles
17,Daryl Johnson,Male,Operations,Operations Analyst,51327.93,3.59,Good,1.0,13,2018,False,High,2013-09-21,1003,Denver
18,Christine Hahn,Female,Legal,Paralegal,88392.88,1.89,Poor,1.48,12,2018,False,High,2023-04-05,1015,Boston
19,Mary Foster,Female,Legal,Legal Counsel,87306.89,1.26,Poor,2.02,12,2017,False,High,2023-11-28,1002,Chicago
20,Derek Wright,Male,Finance,Financial Analyst,139807.94,2.07,Average,4.91,5,2018,False,Medium,2017-11-26,1001,Chicago
21,Lauren Hurst,Female,Marketing,Campaign Lead,81708.96,4.94,Excellent,1.97,4,2021,True,High,2015-02-24,1017,Boston
22,Yolanda Hicks,Female,Finance,Audit Specialist,138590.97,2.6,Average,4.27,16,2007,False,Medium,2009-11-27,1009,Boston
23,Ashley Burton,Female,Finance,Controller,105225.9,3.71,Good,1.07,3,2022,False,High,2021-10-29,1019,Austin
24,Amy James,Female,IT,Security Analyst,139944.48,2.59,Average,3.07,8,2015,False,Medium,2025-04-17,1011,Los Angeles
25,Wesley Valencia,Male,Marketing,Content Strategist,64345.62,3.64,Good,4.27,20,2021,False,Low,2008-07-22,1002,New York
26,Melanie Herrera,Female,Operations,Process Engineer,68497.61,4.53,Excellent,1.75,9,2016,True,High,2012-11-23,1019,Chicago
27,Ashley Graham,Female,Legal,Legal Counsel,106362.53,1.34,Poor,1.65,6,2020,False,High,2016-01-28,1035,Los Angeles
28,Shawn Baker,Male,Engineering,QA Engineer,92713.68,2.22,Average,2.94,3,2023,False,High,2016-11-14,1041,Austin
29,Thomas Harrell,Male,HR,HR Generalist,69633.62,1.72,Poor,2.47,8,2021,False,High,2013-06-08,1003,New York
30,Lisa Hernandez,Female,Engineering,ML Engineer,110705.13,3.55,Good,2.0,6,2022,False,Medium,2021-04-28,1045,Chicago
31,Paula Moreno,Female,Legal,Paralegal,89751.55,2.4,Average,3.58,15,2023,False,Medium,2008-05-15,1033,Seattle
32,Alicia Hickman,Female,Finance,Controller,103620.36,4.07,Excellent,1.17,12,2022,True,High,2023-04-19,1030,Seattle
33,Elizabeth Brown,Female,Sales,Sales Analyst,41391.1,4.71,Excellent,2.71,3,2023,True,Medium,2023-04-15,1033,Austin
34,Bradley Tucker,Male,Finance,Finance Manager,71227.44,2.07,Average,2.94,18,2014,False,High,2009-07-15,1031,Boston
35,Pamela Anderson,Female,Sales,Sales Manager,95350.65,4.96,Excellent,1.56,10,2014,True,High,2016-06-10,1026,New York
36,Deborah Brennan,Female,Engineering,Software Engineer,126198.73,2.44,Average,2.17,3,2021,False,High,2015-07-22,1025,Atlanta
37,Joshua Blair,Male,HR,Recruiter,40311.09,3.51,Good,1.78,8,2017,False,High,2011-10-12,1023,San Francisco
38,Whitney Santos,Female,Legal,Paralegal,92247.84,3.17,Good,2.15,17,2015,False,Medium,2015-10-23,1006,Boston
39,Bryan Walker,Male,HR,Training Lead,71334.6,4.08,Excellent,1.86,5,2021,True,High,2014-02-09,1006,Austin
40,Crystal Robinson,Female,IT,IT Support,114181.54,3.9,Good,4.9,10,2015,False,Low,2009-07-26,1017,Atlanta
41,Darryl Whitehead,Male,Sales,Sales Analyst,106963.84,2.0,Average,1.74,9,2018,False,High,2022-12-22,1001,Miami
42,Cynthia Caldwell,Female,Engineering,Data Engineer,89182.99,1.38,Poor,1.73,13,2014,False,High,2012-01-02,1001,Denver
43,Taylor Duncan,Female,IT,Cloud Architect,111996.26,2.68,Average,1.99,16,2011,False,High,2016-05-24,1022,Los Angeles
44,Robert Lee,Male,Operations,Process Engineer,37760.16,1.16,Poor,4.42,20,2009,False,Medium,2010-01-03,1012,Miami
45,Jessica Owens,Female,Legal,Legal Analyst,92877.74,1.69,Poor,2.74,10,2018,False,High,2020-10-02,1005,Austin
46,Victoria Garcia,Female,HR,Recruiter,77551.59,3.01,Good,4.43,5,2022,False,Low,2015-03-16,1004,Atlanta
47,Shannon Wright,Female,IT,Network Engineer,62253.46,3.34,Good,4.76,12,2012,False,Low,2011-08-06,1035,New York
48,Javier Ramirez,Male,Finance,Controller,124754.36,3.5,Good,4.28,8,2016,False,Low,2012-08-10,1050,Chicago
49,Jeremy Callahan,Male,Engineering,Data Engineer,95518.05,4.38,Excellent,1.09,2,2023,False,High,2017-09-18,1041,Denver
50,Yvonne Huff,Female,Marketing,Campaign Lead,71125.25,4.75,Excellent,1.16,4,2020,True,High,2024-10-31,1037,Los Angeles
51,Sarah Martin,Female,Legal,Paralegal,134240.41,2.65,Average,2.49,7,2023,False,Medium,2016-08-13,1024,Denver
52,Jennifer Brown,Female,Legal,Legal Analyst,74087.75,3.72,Good,3.96,3,2020,False,Low,2014-10-21,1030,New York
53,Derek Bowers MD,Male,Operations,Process Engineer,84587.45,2.28,Average,4.58,17,2009,False,Medium,2015-07-21,1012,Los Angeles
54,Zachary Peters,Male,HR,HR Generalist,59158.82,4.8,Excellent,4.8,19,2019,True,Low,2020-07-28,1016,Seattle
55,Edward Novak,Male,Sales,Sales Analyst,69579.81,3.69,Good,4.01,16,2013,False,Low,2018-03-17,1045,Seattle
56,Nicole Brown,Female,Marketing,Content Strategist,78114.79,4.55,Excellent,2.4,18,2019,True,Medium,2018-04-17,1012,Los Angeles
57,Sarah Moore,Female,Marketing,Brand Manager,110015.15,4.35,Excellent,2.7,8,2023,True,Medium,2024-09-10,1050,Miami
58,Charlene Larson,Female,Finance,Finance Manager,62211.21,4.95,Excellent,2.5,1,2023,False,Medium,2019-11-03,1017,Denver
59,Bryan Zamora,Male,Finance,Audit Specialist,84768.55,3.83,Good,2.93,12,2016,False,Medium,2012-07-18,1039,Miami
60,Lisa Barnes,Female,Sales,BDR,62831.4,2.62,Average,3.29,20,2012,False,Medium,2018-04-14,1041,Denver
61,Timothy Harris,Male,Sales,Regional Lead,61375.58,2.6,Average,2.91,1,2023,False,Medium,2020-07-14,1006,Miami
62,Jennifer Powers,Female,Finance,Finance Manager,58668.59,4.56,Excellent,3.11,11,2023,True,Medium,2013-06-17,1037,Austin
63,Paul Jones,Male,Sales,Sales Analyst,46789.11,1.66,Poor,1.87,15,2022,False,High,2016-02-25,1001,Seattle
64,Dr. Angel Lewis MD,Female,Operations,Supply Chain Lead,89069.48,1.18,Poor,2.12,16,2014,False,High,2024-03-23,1038,Atlanta
65,Sherry Wood,Female,Finance,Accountant,70990.3,2.85,Average,2.41,18,2009,False,Medium,2011-01-16,1041,Austin
66,Michele Carr,Female,Sales,Account Executive,65178.72,2.64,Average,3.41,16,2019,False,Medium,2025-02-21,1046,Chicago
67,Adam Montoya,Male,Operations,Logistics Coordinator,59998.34,3.32,Good,4.68,10,2020,False,Low,2013-06-13,1030,San Francisco
68,Todd Taylor,Male,Finance,Finance Manager,57241.19,2.51,Average,4.24,15,2008,False,Medium,2010-04-28,1011,Seattle
69,Kristen Nelson,Female,IT,System Administrator,142442.72,4.37,Excellent,4.35,2,2021,False,Low,2018-08-23,1035,New York
70,Dalton Walters,Male,Legal,Contract Specialist,120032.08,5.0,Excellent,4.99,5,2022,True,Low,2012-11-06,1037,Miami
71,Susan Mathis,Female,Sales,Account Executive,61697.63,1.82,Poor,2.01,13,2022,False,High,2009-12-06,1004,New York
72,Donald Smith,Male,Legal,Compliance Officer,83653.02,1.45,Poor,3.69,2,2022,False,Medium,2021-06-20,1003,San Francisco
73,Deborah Figueroa,Female,Engineering,ML Engineer,114875.04,4.51,Excellent,2.61,16,2021,True,Medium,2017-09-27,1023,Seattle
74,Adam Jones,Male,Operations,Logistics Coordinator,83302.68,4.61,Excellent,3.47,2,2022,False,Medium,2023-05-17,1050,San Francisco
75,Kimberly Davenport,Female,Operations,Supply Chain Lead,40460.13,3.91,Good,3.19,1,2023,False,Medium,2018-04-06,1015,Denver
76,Bethany Parker,Female,Sales,Account Executive,125456.86,1.59,Poor,4.71,10,2013,False,Medium,2023-08-23,1020,Atlanta
77,Scott Nolan,Male,Marketing,Campaign Lead,71056.01,1.84,Poor,3.32,11,2014,False,Medium,2011-12-07,1047,Los Angeles
78,Brian Deleon,Male,IT,IT Support,71800.31,3.56,Good,1.73,3,2023,False,High,2023-05-23,1003,San Francisco
79,Marc Moore,Male,Marketing,SEO Specialist,48065.15,1.68,Poor,2.11,6,2017,False,High,2024-03-02,1005,Los Angeles
80,Vanessa Cochran,Female,Marketing,Content Strategist,54656.13,2.32,Average,2.29,15,2016,False,High,2023-05-06,1022,Atlanta
81,Nancy Cook,Female,Sales,Regional Lead,40233.55,4.47,Excellent,1.34,3,2020,True,High,2024-03-08,1015,Atlanta
82,Sharon Cochran,Female,Operations,Logistics Coordinator,80597.32,3.13,Good,3.88,14,2019,False,Low,2012-11-23,1007,Chicago
